# nehalem brute without optimization flags
# Time			Size		Test-Name
0.047000		48			bcsstk01.mtx
238.573000		5357		s3rmt3m3.mtx
1000.019000		10974		bcsstk17.mtx
1185.443000		11948		bcsstk18.mtx
1871.112000		15000		RANDOM_15000
1981.294000		15439		bcsstk25.mtx
2480.815000		17281		e40r0000.mtx
2694.385000		18000		RANDOM_18000
3324.741000		20000		RANDOM_20000
13387.237000	40000		RANDOM_40000
