# quad BLAS with no optimization flags
# Time			Size		Test-Name
0.038000		48			bcsstk01.mtx
49.291000		5357		s3rmt3m3.mtx
196.714000		10974		bcsstk17.mtx
224.729000		11948		bcsstk18.mtx
352.716000		15000		RANDOM_15000
395.471000		15439		bcsstk25.mtx
495.904000		17281		e40r0000.mtx
508.118000		18000		RANDOM_18000
625.503000		20000		RANDOM_20000
2494.253000	40000		RANDOM_40000
