# quad optimized with no optimization flags
# Time			Size		Test-Name
0.013000		48			bcsstk01.mtx
143.552000		5357		s3rmt3m3.mtx
601.200000		10974		bcsstk17.mtx
714.413000		11948		bcsstk18.mtx
1114.024000		15000		RANDOM_15000
1189.276000		15439		bcsstk25.mtx
1508.203000		17281		e40r0000.mtx
2209.442000		18000		RANDOM_18000
2728.884000		20000		RANDOM_20000
10947.448000	40000		RANDOM_40000
