# quad brute with no optimization flags
# Time			Size		Test-Name
0.028000		48			bcsstk01.mtx
344.956000		5357		s3rmt3m3.mtx
1448.706000		10974		bcsstk17.mtx
1718.338000		11948		bcsstk18.mtx
2708.023000		15000		RANDOM_15000
2866.530000		15439		bcsstk25.mtx
3585.174000		17281		e40r0000.mtx
3899.667000		18000		RANDOM_18000
4816.175000		20000		RANDOM_20000
19263.329000	40000		RANDOM_40000
